"customer_id"	"name"	"real_value"
1	"Abigail Carter"	68349.979060
2	"Abigail Miller"	496504.998510
3	"Abigail Phillips"	28477.373190
4	"Abigail Rhodes"	48229.162500
5	"Abigail Robinson"	162638.713290
6	"Abigail Sanchez"	475775.502240
7	"Adrienne Bell"	35957.993560
8	"Aimee Farley"	524527.338200
9	"Alejandra Li"	658342.790350
10	"Alexa Evans"	522950.375730
11	"Alexandra Burton"	100049.719910
12	"Alexandra Curry"	101570.368700
13	"Alexandra Green"	30780.504320
14	"Alexandra Perez"	103804.727290
15	"Alexandria Bailey"	78129.718970
16	"Alexandria Goodwin"	577985.328810
17	"Alexandria Owens"	195916.840360
18	"Alexis Castillo"	19149.223080
19	"Alexis Johnson"	105152.689150
20	"Alexis Liu"	82026.907810
21	"Alexis Meyer"	279012.241280
22	"Alexis Palmer"	135945.016440
23	"Alexis Phillips"	163094.753540
24	"Alexis Simpson MD"	127964.230850
25	"Alice Miller"	211544.821290
26	"Alicia Farmer"	347824.002880
27	"Alicia Hahn"	351403.006070
28	"Alicia Perez"	102623.635420
29	"Alicia Wood"	187669.561710
30	"Alison Howard"	59529.395930
31	"Alison Randall"	454585.651640
32	"Allison Franklin"	3308.084130
33	"Allison George"	118402.565470
34	"Allison Jones"	11455.103480
35	"Allison Payne"	511968.465660
36	"Allison Smith"	481529.280920
37	"Allison Swanson"	72889.324930
38	"Allison Vargas"	175797.564670
39	"Allison Watson"	300664.585710
40	"Alyssa Alexander"	118724.832330
41	"Alyssa Dean"	182969.441820
42	"Alyssa Holmes"	174279.185000
43	"Alyssa Montgomery"	284756.190510
44	"Alyssa Reid"	628601.449310
45	"Alyssa Rose"	109709.118470
46	"Alyssa White"	203118.568940
47	"Amanda Burgess"	159018.895010
48	"Amanda Cantu"	70842.082550
49	"Amanda Cox"	202246.741200
50	"Amanda Foster"	103057.451510
51	"Amanda Grant"	2879.260490
52	"Amanda Hansen"	278548.876270
53	"Amanda James"	231663.842510
54	"Amanda Lee"	109932.118010
55	"Amanda Lopez"	32780.982920
56	"Amanda Martinez"	100578.134640
57	"Amanda Norman"	9441.719150
58	"Amanda Ortiz"	249560.805500
59	"Amanda Pollard"	191030.499020
60	"Amanda Smith"	78661.966840
61	"Amber Campbell"	158113.389510
62	"Amber Campbell"	188645.417480
63	"Amber Fitzpatrick MD"	160849.253850
64	"Amber King"	86362.835210
65	"Amber Pearson"	97252.600260
66	"Amber Powell"	172145.287780
67	"Amber Smith"	60451.184000
68	"Amber Steele"	289496.672490
69	"Amber Stone"	49724.930140
70	"Amber Vaughn"	117302.402670
71	"Amber Ward"	100788.082530
72	"Amy Alexander"	218051.705880
73	"Amy Andrews"	145594.986190
74	"Amy Baldwin"	170095.883440
75	"Amy Benton"	230435.132690
76	"Amy Blanchard"	65198.086060
77	"Amy Brown"	242880.543080
78	"Amy Caldwell"	83077.701520
79	"Amy Clarke"	159291.803080
80	"Amy Cook"	113360.069360
81	"Amy Gonzalez"	162268.660520
82	"Amy Hamilton"	210147.010020
83	"Amy Hanson"	234496.316230
84	"Amy Harris"	193719.426200
85	"Amy Levine"	143410.455880
86	"Amy Lozano"	289546.877740
87	"Amy Moody"	97408.210240
88	"Amy Parker"	121448.024200
89	"Amy Peck"	13425.454220
90	"Amy Perez"	118424.141320
91	"Amy Riley"	559705.603680
92	"Amy Sampson"	130393.545470
93	"Amy Snyder"	566613.560810
94	"Amy Torres"	145155.952970
95	"Amy Walters"	122854.896900
96	"Amy Webster"	177871.090800
97	"Ana Perez"	269660.762620
98	"Ana Stewart DDS"	212681.567970
99	"Andrea Anderson"	118646.981940
100	"Andrea Huynh"	587652.728570
101	"Andrea Massey"	99940.973610
102	"Andrea Mendoza"	99484.969280
103	"Andrea Neal"	41486.005970
104	"Andrea Perez"	100768.647840
105	"Andrea Ramos"	71573.823120
106	"Andrea Reed"	43962.500980
107	"Andrea Torres"	213376.969760
108	"Andrea Williams"	42829.886070
109	"Angela Bradford"	250964.918040
110	"Angela Brady"	168067.634120
111	"Angela Chaney"	48263.774100
112	"Angela Crawford"	240910.084300
113	"Angela Daugherty"	436851.701800
114	"Angela Davis"	471659.239140
115	"Angela Dunn"	680578.795840
116	"Angela Foley"	588500.604420
117	"Angela Gonzalez"	177387.142770
118	"Angela Johnson"	157053.445540
119	"Angela Jones"	208608.668910
120	"Angela Jordan"	176846.081700
121	"Angela Lawson"	85300.744840
122	"Angela Lucas"	41484.820570
123	"Angela Marshall"	220841.377160
124	"Angela Michael"	68558.707250
125	"Angela Miranda"	387470.348990
126	"Angela Navarro"	182399.399700
127	"Angela Phillips"	160598.797080
128	"Angela Rasmussen"	138334.002090
129	"Angela Simon"	123373.131510
130	"Angela Valdez"	70814.552960
131	"Angela Wagner"	82286.645780
132	"Angela Ward"	284342.496030
133	"Angelica Bauer"	153973.311950
134	"Angie Carter"	140381.985960
135	"Anita Clements"	394532.717250
136	"Anita Cortez"	153409.265940
137	"Anita Faulkner"	80618.518870
138	"Anita Glenn"	596386.508130
139	"Anita Riley"	160915.176120
140	"Ann Alvarez"	599496.519960
141	"Ann Carlson"	105067.351590
142	"Ann Davis"	249213.518970
143	"Ann Hernandez"	158255.940160
144	"Anna Clark"	148225.334250
145	"Anna Ford"	395083.540950
146	"Anna Houston"	226780.882540
147	"Anna Johnson"	418809.711020
148	"Anna Liu MD"	391913.542330
149	"Anna Mcconnell"	143515.792330
150	"Anna Mclaughlin"	503536.200060
151	"Anna Meyer"	1358.913080
152	"Anna Randall"	163499.712250
153	"Anna Ray"	194180.468040
154	"Anna Smith"	438703.586720
155	"Anna Stafford"	612918.313570
156	"Anne Allen"	204886.823560
157	"Anne Evans"	8389.608230
158	"Anne Hall"	120791.287430
159	"Anne Mathis"	74402.610850
160	"Anne Stone"	109169.766930
161	"Anne Williams"	523907.553800
162	"Annette Jones"	93118.657850
163	"Annette Perez"	498334.565370
164	"Annette Shelton"	121830.395710
165	"April Anderson"	19562.024160
166	"April Barton"	488093.496970
167	"April Curtis"	196157.966030
168	"April Farley"	89095.261400
169	"April Foster"	96793.341670
170	"April Miller"	543281.992730
171	"April Miller"	149487.192400
172	"April Shepherd"	11540.628000
173	"April Singh"	419727.945060
174	"April Velez"	63184.640240
175	"April Young"	101981.858550
176	"Ariana Cook"	159541.940270
177	"Ariana Parker"	160842.621920
178	"Ariana Torres"	71696.511160
179	"Ashlee Russo"	191615.923290
180	"Ashley Arroyo"	232714.305240
181	"Ashley Bonilla"	75698.162670
182	"Ashley Brown"	655001.497180
183	"Ashley Carr"	403299.201080
184	"Ashley Cunningham"	72.534000
185	"Ashley Elliott"	140427.851480
186	"Ashley Fowler"	113933.782380
187	"Ashley Gonzalez"	508948.199260
188	"Ashley Horne"	264993.731450
189	"Ashley Johnson"	465396.294220
190	"Ashley Jones"	413697.426350
191	"Ashley King"	59845.109540
192	"Ashley Long"	12011.696720
193	"Ashley Martin"	438066.418140
194	"Ashley Miller"	93821.022000
195	"Ashley Norris"	139541.274400
196	"Ashley Parker"	85639.341040
197	"Ashley Patel"	124320.601360
198	"Ashley Reed"	237505.120730
199	"Ashley Reynolds"	335599.986970
200	"Ashley Rivera"	554918.566340
